;reviewId;userName;userImage;content;score;thumbsUpCount;reviewCreatedVersion;at;replyContent;repliedAt
50;gp:AOqpTOHHArGW7b_pTzb7rS7KZZ7HO6ksh46uB28_i0N6rRqmsVfsvRKSwRAJ9Z_7j5darV7pQaBzME7ppFrXSg;Diego Santos;https://play-lh.googleusercontent.com/a-/AOh14GhaQkK8cmovbzJ9axzdWKWzw_gAanTkN-FUHja5lA;Estou extremamente decepcionado com a plataforma... Minha conta do Mercado Livre e Mercado Pago foram bloqueadas sem nenhum motivo plausível... Sempre utilizei a plataforma, sempre paguei em dias, sempre fiz transações no próprio Mercado Pago e me bloquearam por uma compra que realizei sem nemhum motivo. Não recomendo, comprem na Amazon. No momento em que fui confirmar a entrega do produto, simplesmente me bloquearam.;1;0;;2021-04-28 00:09:14;;
51;gp:AOqpTOFi3ROoajw_3YQGrtoZpHiTrRwH9i3uhBew4jV4W9UuipO_o3gMVuj15rELTvSOjzV54paZzbp5N8ittA;Williany Pessoa;https://play-lh.googleusercontent.com/-C2FqKCimFPg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnqxInNc2t5pYo4DSL-DeLLMWyHPQ/photo.jpg;Excelente;5;0;10.154.2;2021-04-28 00:09:08;;
52;gp:AOqpTOGJsjIwl5rQOsNCQsImgWKDDkoqfCzhOWNhk-j7l3cw6wOA4Pte8bjb8TtxFWMjmk-Lj4tlKPbjIJOjhw;nivandro ramos;https://play-lh.googleusercontent.com/-iPV0ld7Jrrc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclesdeQvDxIzcBpU5_0wpzXA8XkCA/photo.jpg;Muito bom;4;0;10.154.2;2021-04-28 00:07:55;;
53;gp:AOqpTOGjpnSMgC3uJh-vdgUSPK88FdjhgqGHb3FohWQq6dUOVEFwB0HXo4BTvy-oifiNI7DKmCqMck_pXhpFKg;Celso Junior;https://play-lh.googleusercontent.com/-cTZhDZRfLBY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckKKOqKemWA6n0w7Cuw98eA9k5h7A/photo.jpg;Ótima;5;0;10.154.2;2021-04-28 00:07:18;;
54;gp:AOqpTOGZ1r4GVUsq34GrByErx7nJgDAbdTrFc9oYnIGtCbFu246tbYzkoUyks0b3rtW09I6phkd4_Enpdalteg;Hudson Umeoka;https://play-lh.googleusercontent.com/a-/AOh14GhXnXi44kVcIFEk-B9YzZvTGVZI3I5ui0j7VvgmC1o;Top;5;0;10.154.2;2021-04-28 00:05:56;;
55;gp:AOqpTOE7rP7IkIFcJoF3ZQu75hhBbczTr-t4jszTOKU-RWIQ72bNcgaiRG-S11DHNyk9iLYA7_1J1L8zfZ95wQ;Simone silva ferreira;https://play-lh.googleusercontent.com/a-/AOh14GiclO0b3Lkm8pkp0b846VXnsKl4qnhnEInypLfp;Ótimo ☺️;5;0;10.154.2;2021-04-28 00:05:34;;
56;gp:AOqpTOF2oQ482Q4iwJ5brB0PU9bTO6ZjMvhOPcznvU7lwGKFg9BrFsEeJQbvzMOpH9nAYWjjLpcKwD5uTr1whQ;Cleusa Rotili;https://play-lh.googleusercontent.com/-W3-KrWWklOc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucloOL5XcFceJfisZ1h7VyHoWQK--g/photo.jpg;Sempre fui bem atendida, entrega sempre no prazo combinado. Continuem assim 👍👍👍;5;0;;2021-04-28 00:05:35;;
57;gp:AOqpTOFjyrCqdbMI0tmErZiDuiGjYEJN6kVB5rhxuxgoa8guZ7e8m2kfK1pGcSC1DYPWuFc5c27QI3tY3dT9fA;Rafaela Paiva;https://play-lh.googleusercontent.com/-IWPDamKaiYI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclOW9GpfxjH4As4QlXqf5CxNMWPgw/photo.jpg;Aplicativo 1000000000000 👍🏻;5;0;10.154.2;2021-04-28 00:05:04;;
58;gp:AOqpTOG59cQbX0zviULrtCnT2mRd6OPaxOool_Hfa5-KSJq624wFtWesNxz7l1Lwra274_rhHX_JeJTMs8xydw;Rafael PPMonteiro;https://play-lh.googleusercontent.com/a-/AOh14GjpE_Ym808QfxYfNX8zfxaCamApH-pHz1D9r72vjg;Ótimo Confiável e pontual;5;0;10.154.2;2021-04-28 00:04:54;;
59;gp:AOqpTOGOj_ymiPUGCmVuNXYWnPh0MuIQ_mvDiIVAjARKrHs41cnMPq76tBdXw2umW9uhHlQ9PZXI_r5WUJEJZw;Rafael Facanali;https://play-lh.googleusercontent.com/-PaDVnFyrnYo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclvND8MZeHWImZqNGUUNb37axNh3Q/photo.jpg;Processo simples e rápido, até agora tudo ótimo.;5;0;10.154.2;2021-04-28 00:03:49;;
